mutatedClass,mutatedMethod,lineNumber,mutator,numKillingTests,numSelectedTests,safe
org.jgrapht.Graphs,addEdge,60,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,413,True
org.jgrapht.Graphs,addEdge,65,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,413,True
org.jgrapht.Graphs,addEdge,66,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1,413,True
org.jgrapht.Graphs,addIncomingEdges,556,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,1,True
org.jgrapht.Graphs,addIncomingEdges,560,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,1,True
org.jgrapht.Graphs,addOutgoingEdges,533,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,3,True
org.jgrapht.Graphs,addOutgoingEdges,537,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,3,True
org.jgrapht.Graphs,getOppositeVertex,428,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,38,1101,True
org.jgrapht.Graphs,getOppositeVertex,430,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,29,1101,True
org.jgrapht.Graphs,getOppositeVertex,429,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,38,1101,True
org.jgrapht.Graphs,getOppositeVertex,431,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,29,1101,True
org.jgrapht.Graphs,neighborListOf,298,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,5,148,True
org.jgrapht.Graphs,neighborSetOf,318,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,31,True
org.jgrapht.Graphs,predecessorListOf,343,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,3,True
org.jgrapht.Graphs,removeVertexAndPreserveConnectivity,451,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,4,True
org.jgrapht.Graphs,removeVertexAndPreserveConnectivity,455,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1,4,True
org.jgrapht.Graphs,removeVertexAndPreserveConnectivity,460,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1,4,True
org.jgrapht.Graphs,removeVertexAndPreserveConnectivity,465,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanFalseReturnValsMutator,3,4,True
org.jgrapht.Graphs,removeVertexAndPreserveConnectivity,452,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,1,4,True
org.jgrapht.Graphs,successorListOf,368,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,6,59,True
org.jgrapht.Graphs,vertexHasPredecessors,594,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,3,5,True
org.jgrapht.Graphs,vertexHasPredecessors,594,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,1,5,True
org.jgrapht.Graphs,vertexHasSuccessors,579,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2,2,True
org.jgrapht.Graphs,vertexHasSuccessors,579,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,1,2,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,104,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,112,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,112,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,87,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,5,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,88,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,5,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,104,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,112,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,114,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,123,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,125,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,3,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,101,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,4,5,True
org.jgrapht.alg.clique.DegeneracyBronKerboschCliqueFinder,lazyRun,133,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,4,5,True
org.jgrapht.alg.clustering.LabelPropagationClustering,<init>,106,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,4,4,True
